time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
0.709994,-0.000251,0.000247,-0.000413
0.714994,-0.000254,0.000455,-0.000391
0.719994,-0.000257,0.000576,-0.000389
0.724994,-0.000260,0.000729,-0.000361
0.729994,-0.000261,0.000825,-0.000324
0.734994,-0.000261,0.000953,-0.000278
0.739994,-0.000261,0.001054,-0.000283
0.744994,-0.000261,0.001204,-0.000305
0.749994,-0.000261,0.001304,-0.000326
0.754994,-0.000262,0.001459,-0.000349
0.759994,-0.000263,0.001568,-0.000364
0.764994,-0.000265,0.001706,-0.000391
0.769994,-0.000267,0.001785,-0.000398
0.774994,-0.000270,0.001883,-0.000394
0.779994,-0.000272,0.001938,-0.000384
0.784993,-0.000276,0.001998,-0.000361
0.789993,-0.000278,0.002044,-0.000345
0.794993,-0.000281,0.002090,-0.000321
0.799993,-0.000283,0.002121,-0.000302
0.804993,-0.000286,0.002136,-0.000277
0.809993,-0.000287,0.002134,-0.000274
0.814993,-0.000290,0.002114,-0.000294
0.819993,-0.000290,0.002085,-0.000296
0.824993,-0.000291,0.002053,-0.000296
0.829993,-0.000294,0.002011,-0.000298
0.834993,-0.000299,0.001947,-0.000319
0.839993,-0.000301,0.001903,-0.000323
0.844993,-0.000305,0.001863,-0.000311
0.849993,-0.000306,0.001846,-0.000316
0.854993,-0.000309,0.001825,-0.000340
0.859993,-0.000312,0.001794,-0.000370
0.864992,-0.000315,0.001727,-0.000393
0.869992,-0.000317,0.001688,-0.000406
0.874992,-0.000319,0.001618,-0.000416
0.879992,-0.000322,0.001580,-0.000423
0.884992,-0.000325,0.001534,-0.000428
0.889992,-0.000327,0.001500,-0.000435
0.894992,-0.000331,0.001436,-0.000442
0.899992,-0.000334,0.001389,-0.000450
0.904992,-0.000336,0.001314,-0.000463
0.909992,-0.000337,0.001265,-0.000599
0.914992,-0.000339,0.001191,-0.001154
0.919992,-0.000342,0.001141,-0.001796
0.924992,-0.000348,0.001039,-0.003218
0.929992,-0.000353,0.000991,-0.004422
0.934992,-0.000362,0.000940,-0.006425
0.939991,-0.000368,0.000892,-0.007787
0.944991,-0.000373,0.000789,-0.009660
0.949991,-0.000373,0.000712,-0.010665
0.954991,-0.000368,0.000600,-0.011724
0.959991,-0.000359,0.000524,-0.012074
0.964991,-0.000334,0.000393,-0.012084
0.969991,-0.000314,0.000310,-0.011797
0.974991,-0.000277,0.000188,-0.011009
0.979991,-0.000255,0.000126,-0.010321
0.984991,-0.000225,0.000049,-0.009161
